Distance_(pixels),Gray_Value
0,12.000
1,15.994
2,12.012
3,15.982
4,12.024
5,15.970
6,12.037
7,15.957
8,12.049
9,15.945
10,12.061
11,15.933
12,12.073
13,15.921
14,12.085
15,15.909
16,12.097
17,15.896
18,12.110
19,15.884
20,12.122
21,15.872
22,12.134
23,15.860
24,12.146
25,15.848
26,12.158
27,15.836
28,12.171
29,15.823
30,12.183
31,15.811
32,12.195
33,15.799
34,12.207
35,15.787
36,12.219
37,15.775
38,12.231
39,15.762
40,12.244
41,15.750
42,12.256
43,15.738
44,12.268
45,15.726
46,12.280
47,15.714
48,12.292
49,15.702
50,12.305
51,15.689
52,12.317
53,15.677
54,12.329
55,15.665
56,12.341
57,15.653
58,12.353
59,15.641
60,12.365
61,15.628
62,12.378
63,15.616
64,12.390
65,15.604
66,12.402
67,15.592
68,12.414
69,15.580
70,12.426
71,15.568
72,12.439
73,15.555
74,12.451
75,15.543
76,12.463
77,15.531
78,12.475
79,15.519
80,12.487
81,15.507
82,12.499
83,15.494
84,12.512
85,15.482
86,12.524
87,15.470
88,12.536
89,15.458
90,12.548
91,15.446
92,12.560
93,15.434
94,12.573
95,15.421
96,12.585
97,15.409
98,12.597
99,15.397
100,12.609
101,15.385
102,12.621
103,15.373
104,12.633
105,15.360
106,12.646
107,15.348
108,12.658
109,15.336
110,12.670
111,15.324
112,12.682
113,15.312
114,12.694
115,15.300
116,12.707
117,15.287
118,12.719
119,15.275
120,12.731
121,15.263
122,12.743
123,15.251
124,12.755
125,15.239
126,12.767
127,15.226
128,12.780
129,15.214
130,12.792
131,15.202
132,12.804
133,15.190
134,12.816
135,15.178
136,12.828
137,15.166
138,12.841
139,15.153
140,12.853
141,15.141
142,12.865
143,15.129
144,12.877
145,15.117
146,12.889
147,15.105
148,12.901
149,15.092
150,12.914
151,15.080
152,12.926
153,15.068
154,12.938
155,15.056
156,12.950
157,15.044
158,12.962
159,15.032
160,12.975
161,15.019
162,12.987
163,15.007
164,12.999
165,14.995
166,13.011
167,14.983
168,13.023
169,14.971
170,13.035
171,14.958
172,13.048
173,14.946
174,13.060
175,14.934
176,13.072
177,14.922
178,13.084
179,14.910
180,13.096
181,14.898
182,13.109
183,14.885
184,13.121
185,14.873
186,13.133
187,14.861
188,13.145
189,14.849
190,13.157
191,14.837
192,13.169
193,14.824
194,13.182
195,14.812
196,13.194
197,14.800
198,13.206
199,14.788
200,13.218
201,14.776
202,13.230
203,14.764
204,13.243
205,14.751
206,13.255
207,14.739
208,13.267
209,14.727
210,13.279
211,14.715
212,13.291
213,14.703
214,13.303
215,14.690
216,13.316
217,14.678
218,13.311
219,14.639
220,13.340
221,14.654
