x,intensity
0.000000000000000000e+00,1.680000000000000071e+01
1.000000000000000000e+00,1.664444444444444571e+01
2.000000000000000000e+00,1.695555555555555571e+01
3.000000000000000000e+00,1.704444444444444429e+01
4.000000000000000000e+00,1.784444444444444500e+01
5.000000000000000000e+00,1.848888888888888715e+01
6.000000000000000000e+00,1.964444444444444571e+01
7.000000000000000000e+00,2.046666666666666501e+01
8.000000000000000000e+00,2.117777777777777715e+01
9.000000000000000000e+00,2.148888888888888715e+01
1.000000000000000000e+01,2.153333333333333499e+01
1.100000000000000000e+01,2.091111111111111143e+01
1.200000000000000000e+01,2.073333333333333428e+01
1.300000000000000000e+01,2.171111111111111214e+01
1.400000000000000000e+01,2.433333333333333215e+01
1.500000000000000000e+01,2.995555555555555571e+01
1.600000000000000000e+01,3.922222222222222143e+01
1.700000000000000000e+01,5.311111111111111427e+01
1.800000000000000000e+01,7.044444444444444287e+01
1.900000000000000000e+01,9.195555555555554861e+01
2.000000000000000000e+01,1.142000000000000028e+02
2.100000000000000000e+01,1.360000000000000000e+02
2.200000000000000000e+01,1.530666666666666629e+02
2.300000000000000000e+01,1.672222222222222285e+02
2.400000000000000000e+01,1.720222222222222115e+02
2.500000000000000000e+01,1.716666666666666572e+02
2.600000000000000000e+01,1.639333333333333371e+02
2.700000000000000000e+01,1.513777777777777658e+02
2.800000000000000000e+01,1.314888888888888800e+02
2.900000000000000000e+01,1.114888888888888943e+02
3.000000000000000000e+01,9.088888888888888573e+01
3.100000000000000000e+01,7.226666666666666572e+01
3.200000000000000000e+01,5.611111111111111427e+01
3.300000000000000000e+01,4.362222222222222001e+01
3.400000000000000000e+01,3.386666666666666714e+01
3.500000000000000000e+01,2.771111111111111214e+01
3.600000000000000000e+01,2.397777777777777786e+01
3.700000000000000000e+01,2.231111111111111001e+01
3.800000000000000000e+01,2.180000000000000071e+01
3.900000000000000000e+01,2.122222222222222143e+01
4.000000000000000000e+01,2.093333333333333357e+01
4.100000000000000000e+01,2.033333333333333215e+01
4.200000000000000000e+01,1.962222222222222356e+01
4.300000000000000000e+01,1.900000000000000000e+01
4.400000000000000000e+01,1.839999999999999858e+01
4.500000000000000000e+01,1.731111111111111001e+01
4.600000000000000000e+01,1.693333333333333357e+01
4.700000000000000000e+01,1.631111111111111001e+01
4.800000000000000000e+01,1.633333333333333215e+01
4.900000000000000000e+01,1.577777777777777857e+01
