x,intensity
0.000000000000000000e+00,1.468888888888888822e+01
1.000000000000000000e+00,1.473333333333333250e+01
2.000000000000000000e+00,1.480000000000000071e+01
3.000000000000000000e+00,1.480000000000000071e+01
4.000000000000000000e+00,1.486666666666666714e+01
5.000000000000000000e+00,1.493333333333333357e+01
6.000000000000000000e+00,1.508888888888888857e+01
7.000000000000000000e+00,1.517777777777777715e+01
8.000000000000000000e+00,1.555555555555555536e+01
9.000000000000000000e+00,1.588888888888888928e+01
1.000000000000000000e+01,1.626666666666666572e+01
1.100000000000000000e+01,1.700000000000000000e+01
1.200000000000000000e+01,1.764444444444444571e+01
1.300000000000000000e+01,1.875555555555555642e+01
1.400000000000000000e+01,2.006666666666666643e+01
1.500000000000000000e+01,2.148888888888888715e+01
1.600000000000000000e+01,2.331111111111111001e+01
1.700000000000000000e+01,2.519999999999999929e+01
1.800000000000000000e+01,2.826666666666666572e+01
1.900000000000000000e+01,3.642222222222222427e+01
2.000000000000000000e+01,5.277777777777777857e+01
2.100000000000000000e+01,7.873333333333333428e+01
2.200000000000000000e+01,1.105777777777777828e+02
2.300000000000000000e+01,1.436666666666666572e+02
2.400000000000000000e+01,1.642888888888888914e+02
2.500000000000000000e+01,1.729333333333333371e+02
2.600000000000000000e+01,1.664666666666666686e+02
2.700000000000000000e+01,1.509333333333333371e+02
2.800000000000000000e+01,1.256666666666666714e+02
2.900000000000000000e+01,9.702222222222222570e+01
3.000000000000000000e+01,7.031111111111111711e+01
3.100000000000000000e+01,4.997777777777777430e+01
3.200000000000000000e+01,3.566666666666666430e+01
3.300000000000000000e+01,2.602222222222222214e+01
3.400000000000000000e+01,2.051111111111111285e+01
3.500000000000000000e+01,1.782222222222222285e+01
3.600000000000000000e+01,1.635555555555555429e+01
3.700000000000000000e+01,1.562222222222222179e+01
3.800000000000000000e+01,1.526666666666666750e+01
3.900000000000000000e+01,1.506666666666666643e+01
4.000000000000000000e+01,1.495555555555555571e+01
4.100000000000000000e+01,1.493333333333333357e+01
4.200000000000000000e+01,1.484444444444444500e+01
4.300000000000000000e+01,1.486666666666666714e+01
4.400000000000000000e+01,1.473333333333333250e+01
4.500000000000000000e+01,1.471111111111111036e+01
4.600000000000000000e+01,1.477777777777777857e+01
4.700000000000000000e+01,1.466666666666666607e+01
4.800000000000000000e+01,1.468888888888888822e+01
4.900000000000000000e+01,1.473333333333333250e+01
