x,fit_intensity
0.000000000000000000e+00,1.339257958391945813e+01
1.043478260869565188e+00,1.445236932547653197e+01
2.086956521739130377e+00,1.682420996458449025e+01
3.130434782608695343e+00,2.164613521210998215e+01
4.173913043478260754e+00,3.052974653981380015e+01
5.217391304347826164e+00,4.531196145259581698e+01
6.260869565217390686e+00,6.741942581920308442e+01
7.304347826086956097e+00,9.690964428721687796e+01
8.347826086956521507e+00,1.315514396921803666e+02
9.391304347826086030e+00,1.665346475405962110e+02
1.043478260869565233e+01,1.953012611925673241e+02
1.147826086956521685e+01,2.114695642178597268e+02
1.252173913043478137e+01,2.111226016079299939e+02
1.356521739130434767e+01,1.943467202785848542e+02
1.460869565217391219e+01,1.651967448339398175e+02
1.565217391304347849e+01,1.301069168290578659e+02
1.669565217391304301e+01,9.559614041097847803e+01
1.773913043478260931e+01,6.637822471233877764e+01
1.878260869565217206e+01,4.458009979959435753e+01
1.982608695652173836e+01,3.006916002302593682e+01
2.086956521739130466e+01,2.138504305808984896e+01
2.191304347826086740e+01,1.669036129564542037e+01
2.295652173913043370e+01,1.439014131391929219e+01
2.400000000000000000e+01,1.336628954339727571e+01
