x,intensity
0.000000000000000000e+00,1.471428571428571352e+01
1.043478260869565188e+00,1.557142857142857117e+01
2.086956521739130377e+00,1.771428571428571530e+01
3.130434782608695343e+00,2.142857142857142705e+01
4.173913043478260754e+00,2.857142857142857295e+01
5.217391304347826164e+00,4.285714285714285410e+01
6.260869565217390686e+00,6.514285714285713880e+01
7.304347826086956097e+00,9.757142857142856940e+01
8.347826086956521507e+00,1.341428571428571388e+02
9.391304347826086030e+00,1.688571428571428612e+02
1.043478260869565233e+01,1.944285714285714164e+02
1.147826086956521685e+01,2.101428571428571388e+02
1.252173913043478137e+01,2.102857142857142776e+02
1.356521739130434767e+01,1.940000000000000000e+02
1.460869565217391219e+01,1.650000000000000000e+02
1.565217391304347849e+01,1.314285714285714164e+02
1.669565217391304301e+01,9.628571428571429180e+01
1.773913043478260931e+01,6.642857142857143060e+01
1.878260869565217206e+01,4.414285714285714590e+01
1.982608695652173836e+01,2.985714285714285765e+01
2.086956521739130466e+01,2.128571428571428470e+01
2.191304347826086740e+01,1.642857142857142705e+01
2.295652173913043370e+01,1.457142857142857117e+01
2.400000000000000000e+01,1.371428571428571352e+01
