x,fit_intensity
0.000000000000000000e+00,9.350659580533580595e+00
1.043478260869565188e+00,9.494031344490471369e+00
2.086956521739130377e+00,9.952879287463863633e+00
3.130434782608695343e+00,1.125066804912014362e+01
4.173913043478260754e+00,1.448798300657532145e+01
5.217391304347826164e+00,2.159013928545191163e+01
6.260869565217390686e+00,3.523807018842031624e+01
7.304347826086956097e+00,5.807148957086386076e+01
8.347826086956521507e+00,9.100533174717449469e+01
9.391304347826086030e+00,1.312534120481462878e+02
1.043478260869565233e+01,1.714802465103942382e+02
1.147826086956521685e+01,2.014599735206956552e+02
1.252173913043478137e+01,2.121565785371590209e+02
1.356521739130434767e+01,2.000991835701892398e+02
1.460869565217391219e+01,1.691914024491241264e+02
1.565217391304347849e+01,1.286808492124281713e+02
1.669565217391304301e+01,8.871537823555533464e+01
1.773913043478260931e+01,5.636885272527354118e+01
1.878260869565217206e+01,3.415526074972729731e+01
1.982608695652173836e+01,2.099363853770678290e+01
2.086956521739130466e+01,1.420118342063688388e+01
2.191304347826086740e+01,1.112972802982122467e+01
2.295652173913043370e+01,9.908001656215374098e+00
2.400000000000000000e+01,9.479342473286131110e+00
