x,intensity
0.000000000000000000e+00,7.142857142857143238e+00
1.043478260869565188e+00,8.571428571428571175e+00
2.086956521739130377e+00,1.028571428571428648e+01
3.130434782608695343e+00,1.300000000000000000e+01
4.173913043478260754e+00,1.885714285714285765e+01
5.217391304347826164e+00,2.757142857142857295e+01
6.260869565217390686e+00,4.114285714285714590e+01
7.304347826086956097e+00,6.314285714285714590e+01
8.347826086956521507e+00,9.114285714285713880e+01
9.391304347826086030e+00,1.284285714285714164e+02
1.043478260869565233e+01,1.667142857142857224e+02
1.147826086956521685e+01,1.990000000000000000e+02
1.252173913043478137e+01,2.114285714285714164e+02
1.356521739130434767e+01,2.052857142857142776e+02
1.460869565217391219e+01,1.722857142857142776e+02
1.565217391304347849e+01,1.322857142857142776e+02
1.669565217391304301e+01,8.542857142857143060e+01
1.773913043478260931e+01,5.085714285714285410e+01
1.878260869565217206e+01,2.885714285714285765e+01
1.982608695652173836e+01,1.871428571428571530e+01
2.086956521739130466e+01,1.271428571428571352e+01
2.191304347826086740e+01,1.057142857142857117e+01
2.295652173913043370e+01,8.857142857142857650e+00
2.400000000000000000e+01,7.428571428571428825e+00
