Distance_(pixels),Gray_Value
0,4.000
1,4.000
2,5.000
3,5.000
4,4.000
5,5.000
6,5.000
7,5.000
8,4.000
9,5.000
10,5.000
11,5.000
12,6.000
13,5.000
14,4.001
15,5.000
16,5.000
17,4.999
18,4.001
19,4.999
20,4.000
21,4.000
22,4.000
23,4.000
24,4.000
25,4.001
26,4.999
27,4.000
28,4.000
29,4.000
30,4.000
31,4.000
32,4.000
33,4.001
34,5.000
35,5.000
36,5.000
37,4.999
38,4.001
39,5.000
40,4.998
41,4.000
42,4.002
43,5.000
44,4.998
45,4.000
46,4.000
47,4.002
48,5.000
49,5.002
50,5.998
51,5.000
52,5.000
53,5.000
54,4.998
55,4.002
56,5.000
57,5.000
58,5.000
59,5.000
60,5.000
61,5.000
62,5.000
63,4.998
64,4.000
65,4.000
66,4.000
67,4.000
68,4.003
69,5.000
70,4.997
71,4.000
72,4.003
73,5.000
74,5.000
75,4.997
76,4.000
77,4.000
78,4.000
79,4.003
80,4.997
81,4.000
82,4.000
83,4.000
84,4.003
85,5.000
86,5.000
87,5.000
88,5.000
89,4.997
90,4.000
91,4.000
92,4.003
93,5.000
94,4.996
95,4.000
96,4.004
97,5.000
98,5.000
99,5.000
100,5.000
101,5.000
102,5.000
103,5.000
104,5.000
105,5.000
106,5.000
107,5.000
108,4.996
109,4.000
110,4.004
111,5.000
112,4.996
113,4.000
114,4.000
115,4.004
116,5.000
117,4.996
118,4.000
119,4.000
120,4.005
121,5.000
122,4.995
123,4.000
124,4.000
125,4.000
126,4.000
127,4.000
128,4.000
129,4.000
130,4.000
131,4.005
132,5.000
133,5.000
134,5.000
135,4.995
136,4.000
137,4.000
138,4.000
139,4.005
140,5.000
141,5.000
142,4.995
143,4.000
144,4.005
145,5.000
146,4.994
147,4.006
148,5.000
149,4.994
150,4.006
151,5.000
152,5.000
153,4.994
154,4.006
155,4.994
156,4.000
157,4.006
158,5.000
159,5.000
160,5.000
161,5.000
162,5.000
163,4.994
164,4.000
165,4.006
166,4.994
167,4.000
168,4.006
169,5.006
170,6.000
171,5.994
172,5.000
173,5.000
174,5.000
175,5.000
176,5.000
177,5.000
178,5.000
179,5.000
180,5.000
181,5.000
182,5.000
183,5.000
184,4.993
185,4.000
186,4.000
187,4.000
188,4.000
189,4.000
190,4.000
191,4.007
192,5.007
193,5.993
194,5.000
195,5.007
196,5.993
197,4.993
198,4.000
199,4.008
200,5.000
201,5.000
202,5.000
203,4.992
204,4.000
205,4.000
206,4.008
207,5.000
208,5.000
209,5.000
210,4.992
211,4.000
212,4.000
213,4.000
214,4.000
215,4.008
216,5.008
217,5.992
218,5.000
219,4.992
220,4.000
221,4.000
222,4.000
223,4.000
224,4.008
225,4.992
226,4.000
227,4.000
228,4.009
229,5.000
230,5.000
231,4.991
232,4.000
233,4.009
234,5.000
235,5.000
236,4.991
237,4.000
238,4.000
239,4.000
240,4.000
241,4.000
242,4.009
243,5.000
244,4.991
245,4.000
246,4.009
247,5.000
248,5.000
249,5.000
250,4.991
251,4.000
252,4.000
253,4.000
254,4.010
255,5.000
256,5.000
257,5.000
258,5.000
259,5.000
260,5.000
261,5.000
262,5.000
263,4.990
264,4.000
265,4.010
266,5.000
267,5.000
268,5.000
269,5.000
270,5.000
271,5.000
272,5.000
273,4.990
274,4.000
275,4.000
276,4.010
277,5.000
278,5.000
279,4.989
280,4.000
281,4.000
282,4.000
283,4.000
284,4.000
285,4.000
286,4.011
287,5.011
288,5.989
289,4.989
290,4.011
291,5.000
292,4.989
293,4.000
294,4.011
295,5.000
296,5.000
297,5.000
298,5.000
299,5.000
300,5.000
301,5.011
302,5.989
303,4.989
304,4.011
305,5.000
306,4.988
307,4.012
308,5.000
309,5.000
310,5.000
311,5.000
312,5.000
313,4.988
314,4.012
315,5.000
316,4.988
317,4.000
318,4.012
319,5.000
320,5.000
321,5.000
322,5.000
323,4.988
324,4.012
325,5.000
326,4.988
327,4.000
328,4.000
329,4.000
330,4.012
331,4.988
332,4.013
333,5.000
334,5.000
335,4.987
336,4.013
337,5.000
338,5.000
339,5.000
340,4.987
341,4.000
342,4.000
343,4.013
344,5.000
345,4.987
346,4.013
347,5.000
348,5.013
349,5.987
350,4.987
351,4.000
352,4.000
353,4.000
354,4.000
355,4.013
356,4.987
357,4.000
358,4.000
359,4.000
360,4.000
361,4.000
362,4.014
363,4.986
364,4.000
365,4.000
366,4.000
367,4.000
368,4.014
369,5.000
370,4.986
371,4.000
372,4.000
373,4.014
374,5.000
375,5.000
376,5.000
377,5.000
378,5.000
379,5.014
380,6.000
381,5.986
382,4.986
383,4.000
384,4.000
385,4.000
386,4.000
387,4.000
388,4.000
389,4.000
390,4.000
391,4.015
392,4.985
393,4.000
394,4.000
395,4.015
396,5.000
397,4.985
398,4.000
399,4.000
400,4.000
401,4.015
402,4.985
403,3.985
404,3.015
405,4.015
406,5.000
407,5.000
408,5.000
409,4.985
410,4.000
411,4.000
412,4.016
413,4.984
414,4.000
415,4.016
416,4.984
417,4.000
418,4.000
419,4.000
420,4.000
421,4.016
422,5.000
423,5.000
424,5.000
425,5.000
426,5.000
427,5.000
428,4.984
429,4.000
430,4.016
431,5.000
432,4.984
433,4.000
434,4.000
435,4.000
436,4.016
437,5.000
438,5.000
439,4.983
440,4.000
441,4.000
442,4.000
443,4.017
444,5.000
445,5.017
446,6.000
447,5.983
448,5.000
449,4.983
450,4.000
451,4.000
452,4.000
453,4.000
454,4.017
455,5.000
456,5.000
457,5.000
458,5.000
459,5.000
