Distance_(pixels),Gray_Value
0,16.000
1,11.003
2,15.994
3,11.008
4,15.989
5,11.014
6,15.983
7,11.019
8,15.978
9,11.025
10,15.972
11,11.031
12,15.967
13,11.036
14,15.961
15,11.042
16,15.956
17,11.047
18,15.950
19,11.053
20,15.944
21,11.058
22,15.939
23,11.064
24,15.933
25,11.069
26,15.928
27,11.075
28,15.922
29,11.080
30,15.917
31,11.086
32,15.911
33,11.092
34,15.906
35,11.097
36,15.900
37,11.103
38,15.895
39,11.108
40,15.889
41,11.114
42,15.883
43,11.119
44,15.878
45,11.125
46,15.872
47,11.130
48,15.867
49,10.778
50,15.852
51,11.142
52,15.856
53,11.147
54,15.850
55,11.153
56,15.845
57,11.158
58,15.839
59,11.164
60,15.833
61,11.169
62,15.828
63,11.175
64,15.822
65,11.180
66,15.817
67,11.186
68,15.811
69,11.192
70,15.806
71,11.197
72,15.800
73,11.203
74,15.795
75,11.208
76,15.789
77,11.214
78,15.784
79,11.219
80,15.778
81,11.225
82,15.772
83,11.230
84,15.767
85,11.236
86,15.761
87,11.241
88,15.756
89,11.247
90,15.750
91,11.253
92,15.745
93,11.258
94,15.739
95,11.264
96,15.734
97,11.269
98,15.728
99,11.275
100,15.722
101,10.936
102,15.694
103,11.286
104,15.711
105,11.291
106,15.706
107,10.888
108,15.676
109,11.303
110,15.695
111,11.308
112,15.689
113,11.314
114,15.684
115,10.541
116,15.622
117,11.325
118,15.672
119,11.330
120,15.667
121,11.336
122,15.661
123,11.341
124,15.656
125,11.347
126,15.650
127,11.352
128,15.645
129,11.358
130,15.639
131,11.364
132,15.634
133,11.369
134,15.628
135,11.375
136,15.623
137,11.380
138,15.617
139,11.386
140,15.611
141,11.391
142,15.606
143,11.397
144,15.600
145,11.402
146,15.595
147,11.408
148,15.589
149,11.414
150,15.584
151,11.419
152,15.578
153,11.425
154,15.573
155,11.430
156,15.567
157,11.436
158,15.561
159,11.441
160,15.556
161,11.447
162,15.550
163,11.452
164,15.545
165,11.458
166,15.539
167,11.464
168,15.534
169,11.469
170,15.528
171,11.475
172,15.523
173,11.480
174,15.517
175,11.486
176,15.512
177,11.491
178,15.506
179,11.497
180,15.500
181,11.502
182,15.495
183,11.508
184,15.489
185,11.513
186,15.484
187,11.519
188,15.478
189,11.525
190,15.473
191,11.530
192,15.467
193,11.536
194,15.462
195,11.541
196,15.456
197,11.547
198,15.450
199,11.552
200,15.445
201,11.558
202,15.439
203,11.563
204,15.434
205,11.569
206,15.428
207,11.575
208,15.423
209,11.580
210,15.417
211,11.586
212,15.412
213,11.591
214,15.406
215,11.597
216,15.400
217,11.602
218,15.395
219,11.608
220,15.389
221,11.613
222,15.384
223,11.619
224,15.378
225,11.624
226,15.373
227,11.630
228,15.367
229,11.636
230,15.362
231,11.641
232,15.356
233,11.647
234,15.351
235,11.652
236,15.345
237,11.658
238,15.339
239,11.663
240,15.334
241,11.669
242,15.328
243,11.674
244,15.323
245,11.680
246,15.317
247,11.686
248,15.312
249,11.691
250,15.306
251,11.697
252,15.301
253,11.702
254,15.295
255,11.708
256,15.289
257,11.713
258,15.284
259,11.719
260,15.278
261,11.724
262,15.273
263,11.730
264,15.267
265,11.735
266,15.262
267,11.741
268,15.256
269,11.747
270,15.251
271,11.752
272,15.245
273,11.758
274,15.240
275,11.763
276,15.234
277,11.769
278,15.228
279,11.774
280,15.223
281,11.780
282,15.217
283,11.785
284,15.212
285,11.791
286,15.206
287,11.797
288,15.201
289,11.802
290,15.195
291,11.808
292,15.190
293,11.813
294,15.184
295,11.819
296,15.178
297,11.824
298,15.173
299,11.830
300,15.167
301,11.835
302,15.162
303,11.841
304,15.156
305,11.847
306,15.151
307,11.852
308,15.145
309,11.858
310,15.140
311,11.863
312,15.134
313,11.869
314,15.129
315,11.874
316,15.123
317,11.880
318,15.117
319,11.885
320,15.112
321,11.891
322,15.106
323,11.896
324,15.101
325,11.902
326,15.095
327,11.908
328,15.090
329,11.913
330,15.084
331,11.919
332,15.079
333,11.924
334,15.073
335,11.930
336,15.067
337,11.935
338,15.062
339,11.941
340,15.056
341,11.946
342,15.051
343,11.952
344,15.045
345,11.958
346,15.040
347,11.963
348,15.034
349,11.969
350,15.029
351,11.974
352,15.023
353,11.980
354,15.017
355,11.985
356,15.012
357,11.991
358,15.006
359,11.996
360,15.001
361,12.002
362,14.995
363,12.007
364,14.990
365,12.013
366,14.984
367,12.019
368,14.979
369,12.024
370,14.973
371,12.030
372,14.968
373,12.035
374,14.962
375,12.041
376,14.956
377,12.046
378,14.951
379,12.052
380,14.945
381,12.057
382,14.940
383,12.063
384,14.934
385,12.069
386,14.929
387,12.074
388,14.923
389,12.080
390,14.918
391,12.085
392,14.912
393,12.091
394,14.906
395,12.096
396,14.901
397,12.102
398,14.895
399,12.107
400,14.890
401,12.113
402,14.884
403,12.119
404,14.879
405,12.124
406,14.873
407,12.130
408,14.868
409,12.135
410,14.862
411,12.141
412,14.857
413,12.146
414,14.851
415,12.152
416,14.845
417,12.157
418,14.840
419,12.163
420,14.834
421,12.168
422,14.829
423,12.174
424,14.823
425,12.180
426,14.818
427,12.185
428,14.812
429,12.191
430,14.807
431,12.196
432,14.801
433,12.202
434,14.795
435,12.593
436,14.905
437,12.213
438,14.784
439,12.218
440,14.779
441,12.224
442,14.773
443,12.230
444,14.768
445,12.235
446,14.762
447,12.241
448,14.757
449,12.246
450,14.751
451,12.258
452,14.731
453,12.279
454,14.710
455,12.301
456,14.688
457,12.322
458,14.667
459,12.344
460,14.646
461,12.365
462,14.624
463,12.387
464,14.603
465,12.408
466,14.581
467,12.429
468,14.560
469,12.451
470,14.538
471,12.472
472,14.517
473,12.494
474,14.496
475,12.515
476,14.474
477,12.710
478,14.510
479,12.558
480,14.431
481,12.579
482,14.410
483,12.601
484,14.388
485,13.113
486,14.583
487,13.315
488,14.676
489,13.642
490,14.793
491,13.349
492,14.642
493,13.366
494,14.625
495,12.777
496,14.262
497,13.401
498,14.591
499,13.295
500,14.482
501,13.229
502,14.417
503,12.815
504,14.174
505,12.837
506,14.153
507,12.858
508,14.131
509,12.880
510,14.110
511,12.901
512,14.088
513,12.988
514,14.133
515,13.089
516,14.164
517,13.572
518,14.419
519,12.987
520,14.003
521,13.008
522,13.981
523,13.481
524,14.297
525,13.641
526,14.351
527,13.645
528,14.297
529,13.586
530,14.224
531,13.529
532,14.151
533,14.282
534,14.712
535,14.295
536,14.699
537,13.926
538,14.361
539,13.869
540,14.287
541,14.333
542,14.659
543,14.384
544,14.708
545,14.250
546,14.514
547,13.829
548,14.162
549,13.847
550,14.145
551,14.615
552,14.756
553,15.853
554,16.012
555,16.595
556,17.523
557,19.548
558,20.925
559,22.495
560,26.153
561,32.481
562,40.652
563,48.749
564,56.612
565,63.495
566,69.361
567,72.999
568,76.051
569,74.792
570,70.615
571,66.200
572,60.376
573,52.617
574,43.734
575,35.380
576,28.944
577,23.283
578,18.400
579,15.354
580,14.944
581,14.330
582,14.072
583,14.138
584,13.853
585,14.239
586,13.900
587,14.196
588,13.819
589,14.189
590,13.802
591,14.655
592,14.339
593,14.970
594,14.779
595,15.353
596,15.136
597,15.129
598,14.867
599,15.023
600,14.743
601,15.146
602,14.850
603,15.577
604,15.351
605,15.895
606,15.777
607,15.480
608,15.223
609,15.431
610,15.139
611,16.406
612,18.378
613,22.096
614,28.048
615,36.832
616,47.332
617,61.063
618,77.781
619,93.865
620,105.843
621,118.183
622,120.193
623,118.711
624,115.412
625,105.630
626,92.961
627,78.566
628,66.894
629,56.814
630,46.486
631,40.227
632,33.587
633,27.082
634,22.897
635,19.495
636,16.608
637,15.641
638,15.359
639,16.359
640,17.717
641,19.661
642,20.886
643,21.573
644,22.838
645,22.918
646,22.042
647,21.156
648,19.588
649,18.673
650,18.063
651,16.869
652,16.748
653,16.289
654,15.509
655,16.261
656,16.137
657,16.499
658,16.311
659,16.000
660,16.000
661,15.794
662,15.610
663,15.779
664,15.810
665,16.667
666,16.798
667,16.750
668,16.527
