x,fit_intensity
0.000000000000000000e+00,1.560012645507486795e+01
1.000000000000000000e+00,1.560013121880316689e+01
2.000000000000000000e+00,1.560015021066494434e+01
3.000000000000000000e+00,1.560022132362515457e+01
4.000000000000000000e+00,1.560047136656054256e+01
5.000000000000000000e+00,1.560129679161937943e+01
6.000000000000000000e+00,1.560385441670559992e+01
7.000000000000000000e+00,1.561129101975831013e+01
8.000000000000000000e+00,1.563157497617644331e+01
9.000000000000000000e+00,1.568345588065931295e+01
1.000000000000000000e+01,1.580783390773073549e+01
1.100000000000000000e+01,1.608716844212972674e+01
1.200000000000000000e+01,1.667446978889040921e+01
1.300000000000000000e+01,1.782949964620834038e+01
1.400000000000000000e+01,1.995209432138002725e+01
1.500000000000000000e+01,2.359206072879228344e+01
1.600000000000000000e+01,2.940655926587988134e+01
1.700000000000000000e+01,3.803762498344067922e+01
1.800000000000000000e+01,4.990302132930314372e+01
1.900000000000000000e+01,6.493459932733122741e+01
2.000000000000000000e+01,8.234741048909499739e+01
2.100000000000000000e+01,1.005533950569075188e+02
2.200000000000000000e+01,1.173162909890903478e+02
2.300000000000000000e+01,1.301681040001700183e+02
2.400000000000000000e+01,1.369948767716358589e+02
2.500000000000000000e+01,1.366041898500034790e+02
2.600000000000000000e+01,1.290655115324912288e+02
2.700000000000000000e+01,1.156900175934964636e+02
2.800000000000000000e+01,9.865792786057932062e+01
2.900000000000000000e+01,8.043878677680535816e+01
3.000000000000000000e+01,6.321591958962973479e+01
3.100000000000000000e+01,4.849524070596019953e+01
3.200000000000000000e+01,3.697852455825786677e+01
3.300000000000000000e+01,2.867032852003607601e+01
3.400000000000000000e+01,2.311726952092764265e+01
3.500000000000000000e+01,1.966724361989022185e+01
3.600000000000000000e+01,1.767019088560697426e+01
3.700000000000000000e+01,1.659128756087208600e+01
3.800000000000000000e+01,1.604657107079855649e+01
3.900000000000000000e+01,1.578929685649410608e+01
4.000000000000000000e+01,1.567553127351930087e+01
4.100000000000000000e+01,1.562840125861425911e+01
4.200000000000000000e+01,1.561009970763992172e+01
4.300000000000000000e+01,1.560343511434094665e+01
4.400000000000000000e+01,1.560115836386966137e+01
4.500000000000000000e+01,1.560042848799329818e+01
4.600000000000000000e+01,1.560020885875919738e+01
4.700000000000000000e+01,1.560014680925238295e+01
4.800000000000000000e+01,1.560013034736377691e+01
4.900000000000000000e+01,1.560012624542584980e+01
