x,intensity
0.000000000000000000e+00,1.466666666666666607e+01
1.000000000000000000e+00,1.644444444444444287e+01
2.000000000000000000e+00,1.444444444444444464e+01
3.000000000000000000e+00,1.633333333333333215e+01
4.000000000000000000e+00,1.477777777777777857e+01
5.000000000000000000e+00,1.633333333333333215e+01
6.000000000000000000e+00,1.522222222222222143e+01
7.000000000000000000e+00,1.644444444444444287e+01
8.000000000000000000e+00,1.600000000000000000e+01
9.000000000000000000e+00,1.688888888888888928e+01
1.000000000000000000e+01,1.688888888888888928e+01
1.100000000000000000e+01,1.711111111111111072e+01
1.200000000000000000e+01,1.800000000000000000e+01
1.300000000000000000e+01,1.844444444444444287e+01
1.400000000000000000e+01,2.077777777777777857e+01
1.500000000000000000e+01,2.344444444444444287e+01
1.600000000000000000e+01,2.944444444444444287e+01
1.700000000000000000e+01,3.733333333333333570e+01
1.800000000000000000e+01,5.022222222222222143e+01
1.900000000000000000e+01,6.544444444444444287e+01
2.000000000000000000e+01,8.411111111111111427e+01
2.100000000000000000e+01,1.004444444444444429e+02
2.200000000000000000e+01,1.153333333333333286e+02
2.300000000000000000e+01,1.306666666666666572e+02
2.400000000000000000e+01,1.364444444444444571e+02
2.500000000000000000e+01,1.357777777777777715e+02
2.600000000000000000e+01,1.286666666666666572e+02
2.700000000000000000e+01,1.173333333333333286e+02
2.800000000000000000e+01,9.900000000000000000e+01
2.900000000000000000e+01,8.155555555555555713e+01
3.000000000000000000e+01,6.455555555555555713e+01
3.100000000000000000e+01,4.744444444444444287e+01
3.200000000000000000e+01,3.577777777777777857e+01
3.300000000000000000e+01,2.688888888888888928e+01
3.400000000000000000e+01,2.111111111111111072e+01
3.500000000000000000e+01,1.788888888888888928e+01
3.600000000000000000e+01,1.677777777777777857e+01
3.700000000000000000e+01,1.644444444444444287e+01
3.800000000000000000e+01,1.600000000000000000e+01
3.900000000000000000e+01,1.611111111111111072e+01
4.000000000000000000e+01,1.566666666666666607e+01
4.100000000000000000e+01,1.600000000000000000e+01
4.200000000000000000e+01,1.544444444444444464e+01
4.300000000000000000e+01,1.588888888888888928e+01
4.400000000000000000e+01,1.533333333333333393e+01
4.500000000000000000e+01,1.588888888888888928e+01
4.600000000000000000e+01,1.533333333333333393e+01
4.700000000000000000e+01,1.555555555555555536e+01
4.800000000000000000e+01,1.522222222222222143e+01
4.900000000000000000e+01,1.522222222222222143e+01
