x,fit_intensity
0.000000000000000000e+00,1.278309058983780844e+01
1.000000000000000000e+00,1.278309058984537394e+01
2.000000000000000000e+00,1.278309058993622571e+01
3.000000000000000000e+00,1.278309059091541222e+01
4.000000000000000000e+00,1.278309060038617595e+01
5.000000000000000000e+00,1.278309068257550152e+01
6.000000000000000000e+00,1.278309132240866042e+01
7.000000000000000000e+00,1.278309578959132331e+01
8.000000000000000000e+00,1.278312375312396121e+01
9.000000000000000000e+00,1.278328064263584096e+01
1.000000000000000000e+01,1.278406925226773794e+01
1.100000000000000000e+01,1.278761887229370942e+01
1.200000000000000000e+01,1.280191736972027350e+01
1.300000000000000000e+01,1.285342381389874689e+01
1.400000000000000000e+01,1.301918567759610212e+01
1.500000000000000000e+01,1.349521409516630754e+01
1.600000000000000000e+01,1.471312759153452454e+01
1.700000000000000000e+01,1.748330742660920478e+01
1.800000000000000000e+01,2.306827533516916162e+01
1.900000000000000000e+01,3.300621458309321099e+01
2.000000000000000000e+01,4.851254106416355683e+01
2.100000000000000000e+01,6.950441636480735497e+01
2.200000000000000000e+01,9.369423693448729296e+01
2.300000000000000000e+01,1.164910955414959375e+02
2.400000000000000000e+01,1.322253883998841673e+02
2.500000000000000000e+01,1.363909154232168248e+02
2.600000000000000000e+01,1.277242895369276994e+02
2.700000000000000000e+01,1.088220456776051179e+02
2.800000000000000000e+01,8.488737548558154344e+01
2.900000000000000000e+01,6.142567780736823835e+01
3.000000000000000000e+01,4.226897800671367378e+01
3.100000000000000000e+01,2.884339172440368060e+01
3.200000000000000000e+01,2.064331797564660675e+01
3.300000000000000000e+01,1.623976504226473949e+01
3.400000000000000000e+01,1.414900596756579887e+01
3.500000000000000000e+01,1.326807865728855695e+01
3.600000000000000000e+01,1.293782263182147396e+01
3.700000000000000000e+01,1.282744853348548020e+01
3.800000000000000000e+01,1.279451686023563006e+01
3.900000000000000000e+01,1.278573530883029719e+01
4.000000000000000000e+01,1.278364063267680706e+01
4.100000000000000000e+01,1.278319338092007662e+01
4.200000000000000000e+01,1.278310785045402476e+01
4.300000000000000000e+01,1.278309319418586654e+01
4.400000000000000000e+01,1.278309094292595738e+01
4.500000000000000000e+01,1.278309063285127856e+01
4.600000000000000000e+01,1.278309059454566565e+01
4.700000000000000000e+01,1.278309059030031847e+01
4.800000000000000000e+01,1.278309058987813351e+01
4.900000000000000000e+01,1.278309058984045343e+01
