x,intensity
0.000000000000000000e+00,1.211111111111111072e+01
1.000000000000000000e+00,1.177777777777777857e+01
2.000000000000000000e+00,1.200000000000000000e+01
3.000000000000000000e+00,1.211111111111111072e+01
4.000000000000000000e+00,1.200000000000000000e+01
5.000000000000000000e+00,1.222222222222222143e+01
6.000000000000000000e+00,1.233333333333333393e+01
7.000000000000000000e+00,1.211111111111111072e+01
8.000000000000000000e+00,1.255555555555555536e+01
9.000000000000000000e+00,1.233333333333333393e+01
1.000000000000000000e+01,1.244444444444444464e+01
1.100000000000000000e+01,1.233333333333333393e+01
1.200000000000000000e+01,1.288888888888888928e+01
1.300000000000000000e+01,1.322222222222222143e+01
1.400000000000000000e+01,1.400000000000000000e+01
1.500000000000000000e+01,1.400000000000000000e+01
1.600000000000000000e+01,1.477777777777777857e+01
1.700000000000000000e+01,1.677777777777777857e+01
1.800000000000000000e+01,2.277777777777777857e+01
1.900000000000000000e+01,3.277777777777777857e+01
2.000000000000000000e+01,5.000000000000000000e+01
2.100000000000000000e+01,6.966666666666667140e+01
2.200000000000000000e+01,9.444444444444444287e+01
2.300000000000000000e+01,1.147777777777777715e+02
2.400000000000000000e+01,1.321111111111111143e+02
2.500000000000000000e+01,1.351111111111111143e+02
2.600000000000000000e+01,1.296666666666666572e+02
2.700000000000000000e+01,1.096666666666666714e+02
2.800000000000000000e+01,8.555555555555555713e+01
2.900000000000000000e+01,6.011111111111111427e+01
3.000000000000000000e+01,4.055555555555555713e+01
3.100000000000000000e+01,2.766666666666666785e+01
3.200000000000000000e+01,2.144444444444444287e+01
3.300000000000000000e+01,1.811111111111111072e+01
3.400000000000000000e+01,1.666666666666666785e+01
3.500000000000000000e+01,1.533333333333333393e+01
3.600000000000000000e+01,1.433333333333333393e+01
3.700000000000000000e+01,1.377777777777777857e+01
3.800000000000000000e+01,1.333333333333333393e+01
3.900000000000000000e+01,1.322222222222222143e+01
4.000000000000000000e+01,1.277777777777777857e+01
4.100000000000000000e+01,1.244444444444444464e+01
4.200000000000000000e+01,1.255555555555555536e+01
4.300000000000000000e+01,1.233333333333333393e+01
4.400000000000000000e+01,1.233333333333333393e+01
4.500000000000000000e+01,1.244444444444444464e+01
4.600000000000000000e+01,1.244444444444444464e+01
4.700000000000000000e+01,1.277777777777777857e+01
4.800000000000000000e+01,1.244444444444444464e+01
4.900000000000000000e+01,1.244444444444444464e+01
