x,fit_intensity
0.000000000000000000e+00,1.834215961637106673e+01
1.000000000000000000e+00,1.834223867864717761e+01
2.000000000000000000e+00,1.834249024444524423e+01
3.000000000000000000e+00,1.834324937703737390e+01
4.000000000000000000e+00,1.834542153466108516e+01
5.000000000000000000e+00,1.835131384140456134e+01
6.000000000000000000e+00,1.836646335785524542e+01
7.000000000000000000e+00,1.840337082365975618e+01
8.000000000000000000e+00,1.848854228049703252e+01
9.000000000000000000e+00,1.867465476748278519e+01
1.000000000000000000e+01,1.905956907189711202e+01
1.100000000000000000e+01,1.981262073432639781e+01
1.200000000000000000e+01,2.120536157718838410e+01
1.300000000000000000e+01,2.363837235675626047e+01
1.400000000000000000e+01,2.764884762228380310e+01
1.500000000000000000e+01,3.387825077326836265e+01
1.600000000000000000e+01,4.298016284188065583e+01
1.700000000000000000e+01,5.546032700296084528e+01
1.800000000000000000e+01,7.146543943942168653e+01
1.900000000000000000e+01,9.056933071138853109e+01
2.000000000000000000e+01,1.116318643622755786e+02
2.100000000000000000e+01,1.328101953469349894e+02
2.200000000000000000e+01,1.517717480501796388e+02
2.300000000000000000e+01,1.660955550399915523e+02
2.400000000000000000e+01,1.737740763230912364e+02
2.500000000000000000e+01,1.736739489487881087e+02
2.600000000000000000e+01,1.658101960513525057e+02
2.700000000000000000e+01,1.513425326891209295e+02
2.800000000000000000e+01,1.322950192356441903e+02
2.900000000000000000e+01,1.110923909005202006e+02
3.000000000000000000e+01,9.005916926502959541e+01
3.100000000000000000e+01,7.102227678867521377e+01
3.200000000000000000e+01,5.510327343108877329e+01
3.300000000000000000e+01,4.271173297067731767e+01
3.400000000000000000e+01,3.368919375848152242e+01
3.500000000000000000e+01,2.752375455595953824e+01
3.600000000000000000e+01,2.356045503741763625e+01
3.700000000000000000e+01,2.115960475307300115e+01
3.800000000000000000e+01,1.978725737340859325e+01
3.900000000000000000e+01,1.904628639271740909e+01
4.000000000000000000e+01,1.866807801493681396e+01
4.100000000000000000e+01,1.848546162350923083e+01
4.200000000000000000e+01,1.840200500034578113e+01
4.300000000000000000e+01,1.836588997758051178e+01
4.400000000000000000e+01,1.835108583993132569e+01
4.500000000000000000e+01,1.834533563204311690e+01
4.600000000000000000e+01,1.834321870391622156e+01
4.700000000000000000e+01,1.834247986231495631e+01
4.800000000000000000e+01,1.834223534688694812e+01
4.900000000000000000e+01,1.834215860247985574e+01
