x,fit_intensity
0.000000000000000000e+00,1.589184873334196269e+01
1.000000000000000000e+00,1.589184873341072368e+01
2.000000000000000000e+00,1.589184873408219367e+01
3.000000000000000000e+00,1.589184874003033698e+01
4.000000000000000000e+00,1.589184878782125132e+01
5.000000000000000000e+00,1.589184913603309823e+01
6.000000000000000000e+00,1.589185143636433750e+01
7.000000000000000000e+00,1.589186521118377904e+01
8.000000000000000000e+00,1.589193996148009269e+01
9.000000000000000000e+00,1.589230744074431811e+01
1.000000000000000000e+01,1.589394343049901437e+01
1.100000000000000000e+01,1.590053604321526137e+01
1.200000000000000000e+01,1.592456983828502892e+01
1.300000000000000000e+01,1.600377942497948425e+01
1.400000000000000000e+01,1.623958420391097590e+01
1.500000000000000000e+01,1.687298059068776013e+01
1.600000000000000000e+01,1.840595911291263675e+01
1.700000000000000000e+01,2.174271112087986424e+01
1.800000000000000000e+01,2.825798435513718943e+01
1.900000000000000000e+01,3.962889661027490718e+01
2.000000000000000000e+01,5.727256325134779047e+01
2.100000000000000000e+01,8.140791958575093190e+01
2.200000000000000000e+01,1.100973536225631761e+02
2.300000000000000000e+01,1.389139945864863535e+02
2.400000000000000000e+01,1.617964182808289593e+02
2.500000000000000000e+01,1.730486093099822540e+02
2.600000000000000000e+01,1.696279353609599241e+02
2.700000000000000000e+01,1.524750081280695611e+02
2.800000000000000000e+01,1.260957746261994288e+02
2.900000000000000000e+01,9.664798955035750794e+01
3.000000000000000000e+01,6.963617540599175015e+01
3.100000000000000000e+01,4.837575696180347506e+01
3.200000000000000000e+01,3.372312802790264641e+01
3.300000000000000000e+01,2.478130728078139811e+01
3.400000000000000000e+01,1.991667088645000661e+01
3.500000000000000000e+01,1.754684363165635830e+01
3.600000000000000000e+01,1.650990099925799370e+01
3.700000000000000000e+01,1.610146854459893717e+01
3.800000000000000000e+01,1.595641683635907526e+01
3.900000000000000000e+01,1.590991141832169298e+01
4.000000000000000000e+01,1.589643780846220977e+01
4.100000000000000000e+01,1.589290761299536392e+01
4.200000000000000000e+01,1.589207062787899893e+01
4.300000000000000000e+01,1.589189096373746857e+01
4.400000000000000000e+01,1.589185603265486968e+01
4.500000000000000000e+01,1.589184987915961500e+01
4.600000000000000000e+01,1.589184889669001244e+01
4.700000000000000000e+01,1.589184875448572321e+01
4.800000000000000000e+01,1.589184873582211388e+01
4.900000000000000000e+01,1.589184873360060379e+01
